"human_ensembl","rank","human_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","subtype"
"ENSG00000119655","Rank 2","NPC2",4.21441208756876,0.73297420840117,0.449473252730546,1.63074043660742,0.10294510036542,NA,"NPC2","IN-VIP"
"ENSG00000119655","Rank 1","NPC2",7.46584833048936,0.759508060185949,0.372543761487746,2.03870830410062,0.0414791484878541,NA,"NPC2","EN-L2-3"
"ENSG00000119655","Rank 1","NPC2",2.76044283759065,0.492101246411264,0.610521657867562,0.806034053124473,0.42022321439415,0.949568535668363,"NPC2","IN-PVALB"
"ENSG00000119655","Rank 1","NPC2",8.38182045970933,0.547261620925184,0.402891135701584,1.35833621648736,0.174357023367246,NA,"NPC2","EN-L4"
"ENSG00000119655","Rank 1","NPC2",3.81174364148481,-0.028837668889744,0.655139397115539,-0.0440176075759007,0.964890368654045,NA,"NPC2","EN-PYR"
"ENSG00000119655","Rank 1","NPC2",8.12151190715179,0.986600721234281,0.388156060161628,2.54176302393285,0.0110294925223258,0.315798862130807,"NPC2","EN-L5-6"
"ENSG00000119655","Rank 1","NPC2",4.21441208756876,0.73297420840117,0.449473252730546,1.63074043660742,0.10294510036542,NA,"NPC2","IN-VIP"
"ENSG00000121316","Rank 2","PLBD1",1.78852050505334,0.0628248385881714,0.690525984471137,0.0909811361208775,0.927507580077672,NA,"PLBD1","EN-L5-6"
"ENSG00000121316","Rank 2","PLBD1",6.17823970989483,-0.15253842663264,0.381517374783699,-0.399820392764868,0.689288809494092,NA,"PLBD1","EN-L2-3"
"ENSG00000124126","Rank 1","PREX1",4.18054828255925,1.828744322095,0.663348635541531,2.75683739155066,0.0058363367267548,0.666910357910966,"PREX1","IN-SST"
"ENSG00000124126","Rank 1","PREX1",17.2745921943955,1.54066931078207,0.392451659276753,3.92575562967771,8.64578961863547e-05,0.0257411759376374,"PREX1","IN-VIP"
"ENSG00000124126","Rank 1","PREX1",92.9302895990574,1.03835225534613,0.286243160185665,3.62751813763035,0.000286158678684531,0.0234684593470554,"PREX1","EN-L2-3"
"ENSG00000124126","Rank 1","PREX1",8.49835754117129,0.691663704971541,0.538205144987887,1.28513023595697,0.198746777295621,0.748210934484512,"PREX1","EN-MIX"
"ENSG00000124126","Rank 1","PREX1",5.88220065584567,3.02565100088888,0.730467604805813,4.14207417410826,3.44178987787455e-05,0.0985154989376958,"PREX1","IN-SV2C"
"ENSG00000124126","Rank 1","PREX1",12.4109750862029,2.47186082620301,0.503410592171855,4.91022808149249,9.09705213506723e-07,0.0119608041471864,"PREX1","IN-PVALB"
"ENSG00000124126","Rank 1","PREX1",36.3864773965182,1.52026630482487,0.43014653872347,3.53429858888672,0.000408858911699222,0.0733021948305408,"PREX1","EN-L5-6"
"ENSG00000124126","Rank 1","PREX1",42.7591286062585,0.961981113731602,0.360291959503106,2.67000439049018,0.00758502551412495,0.16526174200207,"PREX1","EN-L4"
"ENSG00000124126","Rank 1","PREX1",11.7311862455412,1.96378006874191,0.536433243128516,3.66080979114755,0.00025141936014581,0.04080177044652,"PREX1","EN-PYR"
"ENSG00000133313","Rank 2","CNDP2",4.29347937788291,0.858497266651671,0.448920911184708,1.91235748939849,0.0558303566420305,0.78981099256197,"CNDP2","IN-SV2C"
"ENSG00000133313","Rank 2","CNDP2",25.4863363809471,0.587518504769817,0.337080995017589,1.74295944729592,0.0813406986995268,0.395678312579342,"CNDP2","EN-L4"
"ENSG00000133313","Rank 2","CNDP2",8.82349557203473,0.443090049220943,0.46232517096381,0.958394820462041,0.337863706052209,0.940639665198009,"CNDP2","IN-PVALB"
"ENSG00000133313","Rank 2","CNDP2",18.8896602012282,-0.158824823055788,0.338082382485361,-0.469781423948245,0.638511187387802,0.916271581378971,"CNDP2","EN-PYR"
"ENSG00000133313","Rank 2","CNDP2",11.3718719019004,0.442112105895475,0.318674050685649,1.38734893834073,0.165335387110736,0.610178846369205,"CNDP2","IN-VIP"
