"test_ligand","auroc","aupr","aupr_corrected","pearson","p_value","fdr"
"Apoa1",0.776919471115039,0.0346012819567549,0.030342510916398,0.0970288161104128,0.01,0.0105405405405405
"Apoa2",0.772114462440301,0.0191557857699947,0.0148970147296378,0.0740478771853926,0.01,0.0105405405405405
"Apoa4",0.768169376825199,0.0192685143950539,0.015009743354697,0.0741816316391091,0.01,0.0105405405405405
"Apoa5",0.712021142469177,0.0179611253810782,0.0137023543407212,0.0638189505937908,0.01,0.0105405405405405
"Apob",0.76465317514198,0.0197700694101682,0.0155112983698113,0.0724666767669546,0.01,0.0105405405405405
"Apoc1",0.76331695384643,0.020551222469964,0.0162924514296071,0.0758768088146572,0.01,0.0105405405405405
"Apoc2",0.760491492365167,0.0189964801408033,0.0147377091004463,0.0719665516498741,0.01,0.0105405405405405
"Apoc3",0.747844804362134,0.0192743319947596,0.0150155609544026,0.0652138214891763,0.01,0.0105405405405405
"Apoc4",0.759107856765719,0.0203327915206167,0.0160740204802597,0.0769521789607433,0.01,0.0105405405405405
"Apod",0.748025840795617,0.0145107388837692,0.0102519678434122,0.0350919677125774,0.01,0.0105405405405405
"Apoe",0.774809534585522,0.0357015806372245,0.0314428095968676,0.0931762112235105,0.01,0.0105405405405405
"Apoo",0.737278957747336,0.0154262169860784,0.0111674459457215,0.0631281416368457,0.01,0.0105405405405405
"App",0.773463614909632,0.031770056665886,0.0275112856255291,0.069218124358939,0.01,0.0105405405405405
"Areg",0.755616439832307,0.0128481699233682,0.00858939888301132,0.0330746901808226,0.01,0.0105405405405405
"Arf1",0.751703682151735,0.0170772753992379,0.012818504358881,0.0691900424263488,0.01,0.0105405405405405
"Armh4",0.750859923059481,0.0146053052675623,0.0103465342272054,0.0635788847628654,0.01,0.0105405405405405
"Artn",0.78516740482122,0.0195816570422206,0.0153228860018637,0.0685692037632639,0.01,0.0105405405405405
"Atp1b1",0.775372040647101,0.0175713652441713,0.0133125942038143,0.0578001435689933,0.01,0.0105405405405405
"AU040320",0.77174269119278,0.0185213283508759,0.014262557310519,0.0733962503853513,0.01,0.0105405405405405
"Avp",0.766996950398136,0.0186650658211661,0.0144062947808091,0.0462326719674126,0.01,0.0105405405405405
"Azgp1",0.747879287492265,0.0164541317435478,0.0121953607031909,0.0675128067690104,0.01,0.0105405405405405
"B2m",0.783919546546853,0.0199308249178544,0.0156720538774974,0.0586589931874826,0.01,0.0105405405405405
"Bace1",0.748853435920665,0.0339470294681996,0.0296882584278427,0.0867264195064617,0.01,0.0105405405405405
"Bace2",0.745641116822402,0.022023865318659,0.0177650942783021,0.080876964298536,0.01,0.0105405405405405
"BC053393",0.763383764911254,0.0173768896609487,0.0131181186205918,0.0693794328849501,0.01,0.0105405405405405
"Bcan",0.766345003717767,0.0206825701323725,0.0164237990920156,0.0785454259636669,0.01,0.0105405405405405
"Bdnf",0.729304733887269,0.00973283411472865,0.00547406307437172,0.0277942061590387,0.01,0.0105405405405405
"Bgn",0.795578077349994,0.0200973257304956,0.0158385546901387,0.0706553109129009,0.01,0.0105405405405405
"Bmp1",0.746218709253315,0.0128168347230011,0.00855806368264415,0.0610951251166501,0.01,0.0105405405405405
"Bmp10",0.751675664608512,0.0128817710429288,0.00862300000257189,0.0609425946356919,0.01,0.0105405405405405
"Bmp15",0.757728531557435,0.0143088366580107,0.0100500656176538,0.0578228430764341,0.02,0.0202358490566038
"Bmp2",0.735993383549362,0.0098589059871421,0.00560013494678517,0.025230635400863,0.01,0.0105405405405405
"Bmp3",0.740946023125228,0.0108813084572102,0.00662253741685331,0.0538969282100301,0.01,0.0105405405405405
"Bmp4",0.751705837347426,0.00991120354870486,0.00565243250834794,0.00651707053941801,0.02,0.0202358490566038
"Bmp5",0.749493529025064,0.0122711554886745,0.00801238444831759,0.0590515693678837,0.01,0.0105405405405405
"Bmp6",0.741990215411767,0.0109930590478559,0.00673428800749892,0.0157375761026048,0.01,0.0105405405405405
"Bmp7",0.752601321134962,0.0133052373857569,0.00904646634539997,0.0352968810654437,0.01,0.0105405405405405
"Bmp8a",0.743555965042682,0.0107959584915975,0.00653718745124059,0.0550366411917568,0.01,0.0105405405405405
"Boc",0.759399885774635,0.0186516234962709,0.014392852455914,0.0718089051473912,0.01,0.0105405405405405
"Bpi",0.739756355133107,0.0137316085692277,0.00947283752887076,0.0480699097710198,0.01,0.0105405405405405
"Bst2",0.76833640448709,0.0231194474869558,0.0188606764465989,0.0816253361038481,0.01,0.0105405405405405
"Btc",0.789662065323947,0.0198082124683966,0.0155494414280397,0.0546341121819972,0.01,0.0105405405405405
"Btla",0.82070765848768,0.0310413409183555,0.0267825698779985,0.100906169563976,0.01,0.0105405405405405
"Btn1a1",0.689866808909604,0.0103790413461465,0.0061202703057896,0.0459374464576521,0.01,0.0105405405405405
"Btnl9",0.779604844879714,0.0207999225379997,0.0165411514976428,0.0792775658736924,0.01,0.0105405405405405
"C1qa",0.780644726775074,0.0209926667432365,0.0167338957028795,0.0613227461040775,0.01,0.0105405405405405
"C1qb",0.783838726710421,0.0208880328259652,0.0166292617856083,0.0763716569659464,0.01,0.0105405405405405
"C1qtnf1",0.735332816086379,0.0158128713198185,0.0115541002794616,0.0636537393727495,0.01,0.0105405405405405
"C1qtnf5",0.766463539477814,0.0187240027776006,0.0144652317372437,0.0748894750036162,0.01,0.0105405405405405
"C3",0.785361372428512,0.0212150119497819,0.016956240909425,0.076068669400038,0.01,0.0105405405405405
"C4b",0.761246888436294,0.0330121759455198,0.0287534049051629,0.0770112842426126,0.01,0.0105405405405405
"C4bp",0.790490738046713,0.0291561322827362,0.0248973612423793,0.101301002576905,0.01,0.0105405405405405
"Cadm1",0.717741031692162,0.00908838170217562,0.00482961066181869,0.010333287898849,0.01,0.0105405405405405
"Cadm2",0.750155174085914,0.0117583195724803,0.00749954853212341,0.0361828112903232,0.01,0.0105405405405405
"Cadm3",0.750219829955001,0.0118971013996264,0.00763833035926948,0.0476682401566083,0.01,0.0105405405405405
"Cadm4",0.774404357805596,0.0228262035655227,0.0185674325251658,0.0703978636853892,0.01,0.0105405405405405
"Calca",0.789060765740984,0.0592115828765548,0.0549528118361979,0.16092733454898,0.01,0.0105405405405405
"Calcb",0.774586471836946,0.017703226869399,0.013444455829042,0.0575105738351587,0.01,0.0105405405405405
"Calm1",0.774889276824141,0.0230879595996313,0.0188291885592744,0.0962095654985682,0.01,0.0105405405405405
"Calm2",0.776830030496056,0.0190847165889105,0.0148259455485535,0.0543125703520841,0.01,0.0105405405405405
"Calm3",0.769186629166244,0.017356302299303,0.013097531258946,0.0630169911765097,0.01,0.0105405405405405
"Calr",0.713798101272623,0.00974440733544393,0.005485636295087,0.00837702982480069,0.01,0.0105405405405405
"Camp",0.7407283483658,0.0142856384345586,0.0100268673942017,0.0352938560031043,0.01,0.0105405405405405
"Car12",0.754452634187813,0.0162845116359522,0.0120257405955952,0.0678654051651969,0.01,0.0105405405405405
"Cck",0.811660147199903,0.0273294585558834,0.0230706875155265,0.0636810518945577,0.01,0.0105405405405405
"Ccl1",0.785936809663849,0.022180703080947,0.01792193204059,0.0849532107158778,0.01,0.0105405405405405
"Ccl11",0.787943296802778,0.02346802980772,0.019209258767363,0.0791584995947177,0.01,0.0105405405405405
"Ccl12",0.794727852670842,0.0171534572596706,0.0128946862193136,0.0332534064965514,0.01,0.0105405405405405
"Ccl17",0.788585545102913,0.0254399026217896,0.0211811315814327,0.076644480174346,0.01,0.0105405405405405
"Ccl19",0.783034838737471,0.0145762324346975,0.0103174613943406,0.0155159856128702,0.01,0.0105405405405405
"Ccl19-ps1",0.777692108751205,0.0142418594784656,0.0099830884381087,0.0144941779204002,0.01,0.0105405405405405
"Ccl2",0.80582172221678,0.0533674634250291,0.0491086923846722,0.107298920213869,0.01,0.0105405405405405
"Ccl20",0.792015538960489,0.0247154498860262,0.0204566788456693,0.0681753874902195,0.01,0.0105405405405405
"Ccl21a",0.786813974288538,0.0234582413100461,0.0191994702696892,0.0580731179422339,0.01,0.0105405405405405
"Ccl21b",0.785753618034696,0.023406780644105,0.0191480096037481,0.0580619904166863,0.01,0.0105405405405405
"Ccl21d",0.786214829901218,0.0234632819967643,0.0192045109564074,0.0576134981082696,0.01,0.0105405405405405
"Ccl22",0.7891933102727,0.0257788365936867,0.0215200655533298,0.0909390788274845,0.01,0.0105405405405405
"Ccl24",0.7971459821765,0.0252871594585034,0.0210283884181465,0.0778756257030381,0.01,0.0105405405405405
"Ccl25",0.794103923533687,0.0192053823914552,0.0149466113510983,0.0459028915313667,0.01,0.0105405405405405
"Ccl26",0.804104031293418,0.0297055281990619,0.025446757158705,0.10374273316362,0.01,0.0105405405405405
"Ccl27a",0.79038082306918,0.019508549541007,0.0152497785006501,0.0537071046146648,0.01,0.0105405405405405
"Ccl27b",0.790314012004407,0.0195234737795659,0.015264702739209,0.0536036490082256,0.01,0.0105405405405405
"Ccl28",0.793447666461882,0.0144744309676426,0.0102156599272857,0.014004671854479,0.03,0.0300700934579439
"Ccl3",0.839814545415324,0.03098597601136,0.0267272049710031,0.0998075542221698,0.01,0.0105405405405405
"Ccl4",0.806017845019802,0.0531349485354109,0.048876177495054,0.152125782163116,0.01,0.0105405405405405
"Ccl5",0.78976120432336,0.0307741079669746,0.0265153369266177,0.0947365331099295,0.01,0.0105405405405405
"Ccl6",0.79073104236036,0.0251282909616007,0.0208695199212437,0.0697685203335811,0.01,0.0105405405405405
"Ccl7",0.784268688240217,0.0242341255952781,0.0199753545549212,0.0871916034709112,0.01,0.0105405405405405
"Ccl8",0.811150443431553,0.0250718570767631,0.0208130860364062,0.0931033299431543,0.01,0.0105405405405405
"Ccl9",0.792203040981035,0.0254401198368091,0.0211813487964522,0.0702246383018827,0.01,0.0105405405405405
"Ccn1",0.746587247707344,0.0186206369046315,0.0143618658642746,0.0640395975752012,0.01,0.0105405405405405
"Ccn2",0.773537969159104,0.0186262781521963,0.0143675071118393,0.0527415591923373,0.01,0.0105405405405405
