"test_ligand","auroc","aupr","aupr_corrected","pearson","p_value","fdr"
"Ceacam1",0.662053995387329,0.477928793276674,0.127928793276674,0.249399345484269,0.01,0.0114603739982191
"Ceacam10",0.680369013702347,0.481440501764775,0.131440501764775,0.257465826613495,0.01,0.0114603739982191
"Ceacam11",0.680369013702347,0.481440501764775,0.131440501764775,0.257465826613495,0.01,0.0114603739982191
"Ceacam12",0.680369013702347,0.481440501764775,0.131440501764775,0.257465826613495,0.01,0.0114603739982191
"Ceacam13",0.680369013702347,0.481440501764775,0.131440501764775,0.257465826613495,0.01,0.0114603739982191
"Ceacam14",0.680369013702347,0.481440501764775,0.131440501764775,0.257465826613495,0.01,0.0114603739982191
"Ceacam15",0.680369013702347,0.481440501764775,0.131440501764775,0.257465826613495,0.01,0.0114603739982191
"Ceacam2",0.666259666259666,0.482196410909003,0.132196410909003,0.254508378840674,0.01,0.0114603739982191
"Ceacam20",0.67657034323701,0.529532339028834,0.179532339028834,0.300811410354579,0.01,0.0114603739982191
"Ceacam3",0.680369013702347,0.481440501764775,0.131440501764775,0.257465826613495,0.01,0.0114603739982191
"Ceacam5",0.680369013702347,0.481440501764775,0.131440501764775,0.257465826613495,0.01,0.0114603739982191
"Ceacam9",0.680369013702347,0.481440501764775,0.131440501764775,0.257465826613495,0.01,0.0114603739982191
"Cel",0.673178673178673,0.479726077891335,0.129726077891335,0.255443569980965,0.01,0.0114603739982191
"Cer1",0.664088997422331,0.459823622914756,0.109823622914757,0.218486121576335,0.01,0.0114603739982191
"Cfap54",0.659204992538326,0.479351474868696,0.129351474868696,0.187339398582046,0.02,0.0220754716981132
"Cfc1",0.645231311897978,0.4241506597929,0.0741506597929004,0.118629737242996,0.1,0.101980982567353
"Cfd",0.648622981956315,0.468826007736774,0.118826007736774,0.221749540257069,0.01,0.0114603739982191
"Cfh",0.649436982770316,0.462958452512065,0.112958452512065,0.204950651544302,0.01,0.0114603739982191
"Cfp",0.680504680504681,0.494943332993092,0.144943332993092,0.265688554383249,0.01,0.0114603739982191
"Cga",0.680369013702347,0.476993847055769,0.126993847055769,0.0973254813494143,0.01,0.0114603739982191
"Chad",0.675892009225342,0.491725578609435,0.141725578609435,0.259529399382631,0.01,0.0114603739982191
"Chl1",0.663139329805997,0.468062749953918,0.118062749953918,0.235792449350329,0.01,0.0114603739982191
"Cib1",0.65662732329399,0.459547138204149,0.109547138204149,0.216500548507513,0.02,0.0220754716981132
"Cklf",0.641296974630308,0.447667136806193,0.0976671368061928,0.206571218400457,0.01,0.0114603739982191
"Clcf1",0.665716999050332,0.487968643400134,0.137968643400134,0.220675370857312,0.01,0.0114603739982191
"Cldn1",0.695699362366029,0.484831627330488,0.134831627330488,0.129667004847695,0.01,0.0114603739982191
"Cldn11",0.669380002713336,0.506117288027296,0.156117288027296,0.267650663270606,0.01,0.0114603739982191
"Cldn14",0.637769637769638,0.466267264073622,0.116267264073622,0.21802958090268,0.01,0.0114603739982191
"Cldn16",0.704246370913038,0.561819336584043,0.211819336584043,0.313551915618482,0.01,0.0114603739982191
"Cldn19",0.692850359517026,0.497252458645068,0.147252458645068,0.27848189152289,0.01,0.0114603739982191
"Cldn2",0.685117351784019,0.488564803125922,0.138564803125922,0.274299053464357,0.01,0.0114603739982191
"Cldn24",0.661782661782662,0.44934852766815,0.09934852766815,0.202525780761878,0.03,0.032175
"Cldn3",0.691358024691358,0.51066434702027,0.16066434702027,0.283175128126425,0.01,0.0114603739982191
"Clec11a",0.659476326142993,0.477512857602124,0.127512857602124,0.231661105964175,0.01,0.0114603739982191
"Clec2d",0.701804368471035,0.541144586894226,0.191144586894226,0.280866969348674,0.01,0.0114603739982191
"Clec2e",0.702618369285036,0.539846107824622,0.189846107824622,0.270292243437188,0.01,0.0114603739982191
"Clec2f",0.705196038529372,0.546108609499716,0.196108609499716,0.317269122566693,0.01,0.0114603739982191
"Clec2g",0.702618369285036,0.539846107824622,0.189846107824622,0.270292243437188,0.01,0.0114603739982191
"Clec2h",0.702618369285036,0.539846107824622,0.189846107824622,0.270292243437188,0.01,0.0114603739982191
"Clec2i",0.702618369285036,0.539846107824622,0.189846107824622,0.270292243437188,0.01,0.0114603739982191
"Clec2l",0.69027269027269,0.504040748770015,0.154040748770015,0.275339932660447,0.01,0.0114603739982191
"Clec3a",0.647808981142315,0.457371234870335,0.107371234870335,0.216145561838917,0.01,0.0114603739982191
"Clec4g",0.59679826346493,0.470921812493937,0.120921812493937,0.201475789555174,0.01,0.0114603739982191
"Clmp",0.686067019400353,0.499934436414294,0.149934436414294,0.263893346759785,0.01,0.0114603739982191
"Clu",0.71292904626238,0.523277645376245,0.173277645376245,0.292947521725789,0.01,0.0114603739982191
"Cmtm8",0.664360331026998,0.489384221090983,0.139384221090983,0.210720145866761,0.01,0.0114603739982191
"Cnmd",0.610229276895944,0.418030970530592,0.0680309705305922,0.173537186460398,0.12,0.121894238358327
"Cntf",0.588251254917922,0.396469601092639,0.0464696010926391,-0.0275883041663108,0.25,0.250779423226812
