"functional_group","TF","specificity","n_expr","cliff_clean"
"LLM_cell_death","Sox10",0.594444444444445,1,NA
"LLM_cell_death","Stat1",0.868077601410935,23,-0.0194805194805195
"LLM_cell_death","Stat2",0.960718294051627,20,-0.0288
"LLM_cell_death","Stat3",0.811924119241192,7,-0.0263157894736842
"LLM_cell_death","Stat6",1.13227513227513,25,-0.0366666666666667
"LLM_cell_death","Tbp",0.994343434343434,23,-0.12987012987013
"LLM_cell_death","Tfeb",1.14133333333333,6,-0.0512820512820513
"LLM_cell_death","Thra",1.21220043572985,13,-0.0902777777777778
"LLM_cell_death","Usf1",1.39869281045752,5,-0.105
"LLM_cell_death","Yy1",1.01904761904762,30,-0.20952380952381
"LLM_metabolism","Ap3b1",0.847214076246334,27,0.115808823529412
"LLM_metabolism","Bcl3",0.893721198156682,29,-0.0514705882352941
"LLM_metabolism","Bptf",0.885028949545079,30,0.208294930875576
"LLM_metabolism","Cebpa",0.657450076804916,4,0.226120857699805
"LLM_metabolism","Cebpb",0.657450076804916,4,0.226120857699805
"LLM_metabolism","Cebpd",0.657450076804916,4,0.226120857699805
"LLM_metabolism","E2f6",0.903225806451613,28,-0.0569329660238751
"LLM_metabolism","Ehf",0.936030617823948,32,-0.188257222739981
"LLM_metabolism","Elf4",0.994064516129032,36,-0.031219512195122
"LLM_metabolism","Ets1",1.01082949308756,41,-0.0239130434782609
"LLM_metabolism","Ets2",1.02547919588593,41,-0.0239130434782609
"LLM_metabolism","Fli1",1.04826762246117,41,-0.0239130434782609
"LLM_metabolism","Gata1",1.00303280948442,34,0.0778727445394112
"LLM_metabolism","Irf1",0.819026790595954,28,0.0459136822773186
"LLM_metabolism","Irf2",0.805376344086021,21,0.0403846153846154
"LLM_metabolism","Irf5",0.805376344086021,21,0.0403846153846154
"LLM_metabolism","Irf7",0.805376344086021,21,0.0403846153846154
"LLM_metabolism","Irf8",0.816510579257718,22,0.0417853751187085
"LLM_metabolism","Irf9",0.787868162692847,21,0.0730769230769231
"LLM_metabolism","Jun",0.89741935483871,13,0.185185185185185
"LLM_metabolism","Ltf",0.920430107526882,24,-0.0820130475302889
"LLM_metabolism","Mtor",0.191756272401434,1,NA
"LLM_metabolism","Mxd4",0.552258064516129,4,-0.10916179337232
"LLM_metabolism","Myf6",0.552258064516129,4,-0.10916179337232
"LLM_metabolism","Nfatc1",0.812144212523719,4,0.113060428849903
"LLM_metabolism","Nfatc3",0.932868352223191,40,-0.0232804232804233
