"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"KEGG","Kaposi sarcoma-associated herpesvirus infection","KEGG:05167","false","0.00350540185266612","2.4552621881419467","217","142","12","10539","ENSMUSG00000003283,ENSMUSG00000016206,ENSMUSG00000020573,ENSMUSG00000021025,ENSMUSG00000024164,ENSMUSG00000026104,ENSMUSG00000039621,ENSMUSG00000056116,ENSMUSG00000061232,ENSMUSG00000067212,ENSMUSG00000073411,ENSMUSG00000079227"
"KEGG","Complement and coagulation cascades","KEGG:04610","false","0.0036950598845759824","2.4323785187494935","94","142","8","10539","ENSMUSG00000000290,ENSMUSG00000021822,ENSMUSG00000024164,ENSMUSG00000026249,ENSMUSG00000036887,ENSMUSG00000036896,ENSMUSG00000036905,ENSMUSG00000046223"
"KEGG","Acute myeloid leukemia","KEGG:05221","false","0.004055244466181304","2.3919829596739586","70","142","7","10539","ENSMUSG00000002111,ENSMUSG00000015947,ENSMUSG00000022952,ENSMUSG00000024621,ENSMUSG00000034957,ENSMUSG00000051439,ENSMUSG00000089929"
"KEGG","AGE-RAGE signaling pathway in diabetic complications","KEGG:04933","false","0.006198229822708861","2.207732324695022","101","142","8","10539","ENSMUSG00000015340,ENSMUSG00000021948,ENSMUSG00000024401,ENSMUSG00000026104,ENSMUSG00000027398,ENSMUSG00000035352,ENSMUSG00000035385,ENSMUSG00000040061"
"KEGG","Toll-like receptor signaling pathway","KEGG:04620","false","0.007129211234489854","2.146958517196921","103","142","8","10539","ENSMUSG00000021025,ENSMUSG00000024401,ENSMUSG00000026104,ENSMUSG00000027398,ENSMUSG00000027995,ENSMUSG00000034855,ENSMUSG00000044583,ENSMUSG00000051439"
"KEGG","Human immunodeficiency virus 1 infection","KEGG:05170","false","0.008242418203108724","2.0839453540561816","237","142","12","10539","ENSMUSG00000003814,ENSMUSG00000016206,ENSMUSG00000021025,ENSMUSG00000024401,ENSMUSG00000027995,ENSMUSG00000033220,ENSMUSG00000056116,ENSMUSG00000060802,ENSMUSG00000061232,ENSMUSG00000067212,ENSMUSG00000073411,ENSMUSG00000079227"
"KEGG","Apoptosis","KEGG:04210","false","0.008811361515670425","2.054956980003715","136","142","9","10539","ENSMUSG00000007891,ENSMUSG00000016256,ENSMUSG00000021025,ENSMUSG00000024401,ENSMUSG00000030560,ENSMUSG00000032359,ENSMUSG00000071713,ENSMUSG00000071714,ENSMUSG00000089929"
"KEGG","Transcriptional misregulation in cancer","KEGG:05202","false","0.013802772671774119","1.8600336646785194","213","142","11","10539","ENSMUSG00000002111,ENSMUSG00000015947,ENSMUSG00000021822,ENSMUSG00000022952,ENSMUSG00000024621,ENSMUSG00000027315,ENSMUSG00000034041,ENSMUSG00000034957,ENSMUSG00000035356,ENSMUSG00000051439,ENSMUSG00000089929"
"KEGG","Lysosome biogenesis","KEGG:04142","false","0.01474241563496482","1.8314313488392235","252","142","12","10539","ENSMUSG00000001751,ENSMUSG00000004207,ENSMUSG00000007891,ENSMUSG00000016256,ENSMUSG00000018774,ENSMUSG00000021190,ENSMUSG00000021242,ENSMUSG00000024737,ENSMUSG00000028581,ENSMUSG00000030560,ENSMUSG00000032359,ENSMUSG00000044583"
"KEGG","TNF signaling pathway","KEGG:04668","false","0.01851799589562472","1.7324060164968214","118","142","8","10539","ENSMUSG00000021025,ENSMUSG00000024401,ENSMUSG00000027398,ENSMUSG00000034855,ENSMUSG00000035352,ENSMUSG00000035385,ENSMUSG00000052837,ENSMUSG00000053113"
"KEGG","Malaria","KEGG:05144","false","0.02486876314661773","1.604345813924132","66","142","6","10539","ENSMUSG00000000290,ENSMUSG00000024401,ENSMUSG00000027398,ENSMUSG00000027995,ENSMUSG00000035352,ENSMUSG00000035385"
"KEGG","Proteasome","KEGG:03050","false","0.03979239899180547","1.4001998774533433","47","142","5","10539","ENSMUSG00000002102,ENSMUSG00000022216,ENSMUSG00000024338,ENSMUSG00000031897,ENSMUSG00000096727"
"REAC","Innate Immune System","REAC:R-MMU-168249","false","2.0513185380767026e-23","22.687966895171638","953","141","65","8514","ENSMUSG00000002102,ENSMUSG00000002699,ENSMUSG00000003283,ENSMUSG00000003644,ENSMUSG00000004207,ENSMUSG00000004266,ENSMUSG00000004609,ENSMUSG00000005800,ENSMUSG00000007891,ENSMUSG00000015340,ENSMUSG00000015947,ENSMUSG00000015950,ENSMUSG00000016206,ENSMUSG00000016256,ENSMUSG00000018774,ENSMUSG00000021025,ENSMUSG00000021190,ENSMUSG00000021242,ENSMUSG00000021624,ENSMUSG00000021822,ENSMUSG00000021948,ENSMUSG00000022216,ENSMUSG00000023992,ENSMUSG00000024164,ENSMUSG00000024338,ENSMUSG00000025877,ENSMUSG00000026480,ENSMUSG00000026822,ENSMUSG00000027398,ENSMUSG00000028757,ENSMUSG00000028874,ENSMUSG00000029622,ENSMUSG00000030413,ENSMUSG00000030560,ENSMUSG00000030579,ENSMUSG00000031722,ENSMUSG00000031897,ENSMUSG00000032359,ENSMUSG00000032496,ENSMUSG00000033220,ENSMUSG00000034116,ENSMUSG00000034708,ENSMUSG00000036887,ENSMUSG00000036896,ENSMUSG00000036905,ENSMUSG00000037824,ENSMUSG00000038357,ENSMUSG00000039899,ENSMUSG00000044583,ENSMUSG00000046223,ENSMUSG00000051439,ENSMUSG00000052160,ENSMUSG00000052212,ENSMUSG00000056054,ENSMUSG00000056071,ENSMUSG00000056116,ENSMUSG00000056529,ENSMUSG00000058715,ENSMUSG00000058818,ENSMUSG00000059089,ENSMUSG00000060802,ENSMUSG00000061232,ENSMUSG00000067212,ENSMUSG00000069516,ENSMUSG00000073489"
