"human_symbol","rank","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","subtype"
"ITM2C","Rank 2",64.3508286664719,-0.211494309130343,0.923517973020064,-0.229009413253453,0.818861599818404,0.961776924702985,"N6"
"ITM2C","Rank 2",26.7406795493441,-0.0705109243278416,0.506101477277749,-0.139321712133919,0.889195933397909,0.999865540173623,"N4"
"ITM2C","Rank 2",38.778482633754,-0.686286272173842,0.484911326922009,-1.41528199914419,0.15698583067314,0.99974963685545,"N3"
"LGMN","Rank 2",20.7932163982582,0.475476496044336,0.576878419784861,0.824223059378194,0.409812826959156,0.999865540173623,"N4"
"LGMN","Rank 2",12.1114442963625,0.42098831896452,0.884190027000625,0.476128780136334,0.63398263440892,NA,"N6"
"LGMN","Rank 2",9.02377970995947,1.04707140820995,0.856775543348674,1.22210702247349,0.221667157830721,0.999428838839093,"N1"
"LGMN","Rank 2",15.2500620170572,0.381571846649486,0.661069598444267,0.57720374306648,0.563801828803397,0.999968391964706,"N0"
"LGMN","Rank 2",11.1109186247532,1.02991996778215,1.56854519250792,0.656608411859287,0.511432738689043,0.99974963685545,"N3"
"LGMN","Rank 2",17.2800239214863,0.538846749786488,0.610105961594013,0.88320190869575,0.37712719052611,0.999792238033074,"N2"
"LGMN","Rank 2",7.55692453122707,0.478303520426678,0.872490650957491,0.548204751422581,0.583551319954485,NA,"N7"
"LRRK1","Rank 2",7.15424675807241,-1.84363229840277,1.36009188853776,-1.35552039824667,0.175251814106097,NA,"N6"
"LRRK1","Rank 2",8.03774538252501,0.634430365786302,0.97169174659257,0.65291319804975,0.513812239883974,0.99974963685545,"N3"
"LRRK1","Rank 2",11.9499165764618,-0.618825084310833,0.791824379164017,-0.781518099965763,0.434497835439843,0.999792238033074,"N2"
"LRRK1","Rank 2",44.1597533880221,-0.528025738964205,0.549128677583127,-0.961570139239855,0.336265577222623,0.999428838839093,"N1"
"LRRK1","Rank 2",24.7889481584754,-0.351806974820397,0.588157261309027,-0.598151205406188,0.549739046124416,0.999968391964706,"N0"
"NMNAT2","Rank 1",78.4727723721423,-0.344796465083121,0.411961974282362,-0.836961871744974,0.402614000265465,0.999428838839093,"N1"
"NMNAT2","Rank 1",56.0290477722169,-0.100406028328533,0.442314087523186,-0.227001651452644,0.820422458015639,0.999865540173623,"N4"
"NMNAT2","Rank 1",59.9271688463947,0.0491238565113676,0.631417940311178,0.0777992726769185,0.937987725016842,0.984394602184888,"N6"
