"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Tmc3",7.17845309243447,-2.34179540031321,0.66799302663001,-3.50571833380873,0.000455376843263868,0.125592933372175
"Fam126b",645.16488449356,-0.312418470903286,0.0893663580074711,-3.49592931690433,0.000472413821492904,0.128317614816716
"Cacna1g",2662.99262649845,-0.333128566902786,0.0958675816901478,-3.47488234322512,0.00051107745894049,0.135792997321526
"A330076H08Rik",112.04261508905,-0.59005879330914,0.169909315004776,-3.47278660556401,0.000515084722366472,0.135792997321526
"Coro1a",134.488850490253,0.738342906918975,0.214405408976998,3.4436766798089,0.000573861508931562,0.14909587348719
"Arhgef19",160.629762029024,0.652270896233459,0.189841873380173,3.43586419908128,0.000590666966406722,0.151269810096762
"Sgpl1",301.486295997104,0.378170652392024,0.110493411045893,3.42256292762067,0.00062033737006717,0.154740817888981
"Ccl4",16.6188867384729,2.69805682966218,0.788430377270758,3.42206098019943,0.000621483733363455,0.154740817888981
"Ncf1",52.9408204052818,1.58718328702085,0.464986672284162,3.41339522533862,0.000641588233739803,0.157156725172837
"Plekhh1",22.8161628103133,-0.917739123007411,0.269101568252731,-3.41038191998012,0.000648719677736931,0.157156725172837
"Egln1",311.895617933828,-0.300633216577991,0.0883042298311481,-3.4045166030308,0.000662812708772301,0.158429912402147
"Plch2",1174.45679564497,-0.606017753262011,0.178422811898689,-3.39652618862502,0.000682470264313441,0.160982163530882
"Fbxw7",583.238126277183,-0.751796635853369,0.221667078736358,-3.39155746599397,0.000694965876728492,0.161800691845606
"Pirb",8.39650043645369,2.51797831308841,0.744247436090315,3.38325426596815,0.000716322795486961,0.16463485582942
"Sox11",23.5683790388508,-1.32403561221435,0.391918660206988,-3.37834287225588,0.000729240937485956,0.165482307421655
"Chil3",3.19359739674897,4.46451352106597,1.32645226939782,3.36575512294367,0.000763344410835001,0.170080048575607
