"gene_list","test_ligand","auroc","aupr","aupr_corrected","pearson"
"LLM_cell_death","Matn1",0.742106424911209,0.0170469326998117,0.0141401524659173,0.0616219071101349
"LLM_cell_death","Mbl2",0.754070161608097,0.0465981449442891,0.0436913647103947,0.110039172412833
"LLM_cell_death","Mcam",0.748553409538809,0.0165102779730724,0.013603497739178,0.0499650812959629
"LLM_cell_death","Mdk",0.727394560504515,0.0190716054735698,0.0161648252396754,0.0514579954677805
"LLM_cell_death","Megf10",0.727225857311751,0.00973927078805747,0.00683249055416307,0.0515738864253857
"LLM_cell_death","Meltf",0.793059519117008,0.0171093634217795,0.0142025831878851,0.0635253284660808
"LLM_cell_death","Mfap2",0.782208908159246,0.0169738512353534,0.014067071001459,0.0687380890535894
"LLM_cell_death","Mfap3l",0.722245171462304,0.0173528323534598,0.0144460521195654,0.0604283106042457
"LLM_cell_death","Mfap5",0.740490342924742,0.00973482969300038,0.00682804945910597,0.0530539677012374
"LLM_cell_death","Mfge8",0.749447378793857,0.0150129010180167,0.0121061207841223,0.0574247386310238
"LLM_cell_death","Mfng",0.754637761135115,0.00991269086440784,0.00700591063051343,0.0555185282617269
"LLM_cell_death","Mia",0.735415057154088,0.00967742327403022,0.00677064304013581,0.0465894990824425
"LLM_cell_death","Mif",0.751027197477381,0.00799848155069581,0.0050917013168014,0.0240792337593027
"LLM_cell_death","Mill1",0.730916830902542,0.0156953565550032,0.0127885763211088,0.0509654805231694
"LLM_cell_death","Mill2",0.732208119826487,0.0160705585179349,0.0131637782840405,0.0524754519843851
"LLM_cell_death","Mmp12",0.725835238470635,0.0125661402507588,0.00965936001686438,0.0547998554562905
"LLM_cell_death","Mmp13",0.736778872684237,0.0133852214310356,0.0104784411971412,0.0579786633485794
"LLM_cell_death","Mmp14",0.73469136775723,0.015239212004965,0.0123324317710706,0.0529113908710795
"LLM_cell_death","Mmp15",0.671768230193102,0.00893698094130686,0.00603020070741245,0.0401860563691965
"LLM_cell_death","Mmp16",0.737441072132483,0.0184365108272966,0.0155297305934022,0.0646405319249497
"LLM_cell_death","Mmp1a",0.725606621994439,0.0175992299239048,0.0146924496900104,0.0604567434068524
"LLM_cell_death","Mmp1b",0.725606621994439,0.0175992299239048,0.0146924496900104,0.0604567434068524
"LLM_cell_death","Mmp2",0.745944028379958,0.0225215574002903,0.0196147771663959,0.0668625388093875
"LLM_cell_death","Mmp25",0.751769806858499,0.0226713804225826,0.0197646001886882,0.0740474065492992
"LLM_cell_death","Mmp7",0.719282617264469,0.0110138273876699,0.00810704715377551,0.0457512404570572
"LLM_cell_death","Mmp9",0.776405202995681,0.0207304062162646,0.0178236259823702,0.0646838635660651
"LLM_cell_death","Mmrn2",0.667992116673226,0.00883168131322776,0.00592490107933335,0.0399486209811223
"LLM_cell_death","Mpdz",0.757387465510469,0.0167357460341059,0.0138289658002114,0.0637807965004949
"LLM_cell_death","Mpig6b",0.732146629877733,0.0263543515722549,0.0234475713383605,0.0705837356957058
"LLM_cell_death","Mpz",0.744882932597554,0.0189171239238201,0.0160103436899257,0.0632310983059935
"LLM_cell_death","Mpzl3",0.753970831690906,0.0166340343248589,0.0137272540909645,0.0635982097352359
"LLM_cell_death","Msmb",0.636766259361464,0.00719942273539831,0.0042926425015039,0.034236686419916
"LLM_cell_death","Msmp",0.694727631060282,0.0217816281970568,0.0188748479631623,0.0579989004964243
"LLM_cell_death","Msn",0.761909341742203,0.0223406663717051,0.0194338861378107,0.0713425423169416
"LLM_cell_death","Mst1",0.732829325975589,0.0120343315659846,0.00912755133209019,0.0307064503751805
"LLM_cell_death","Mstn",0.696455656286964,0.00557718753745144,0.00267040730355703,0.0128100585915492
"LLM_cell_death","Muc1",0.776461962948391,0.0164791236053081,0.0135723433714137,0.0555233263767993
"LLM_cell_death","Muc4",0.743142294048077,0.0162548532819469,0.0133480730480525,0.0632101768588539
"LLM_cell_death","Mug1",0.737021679148507,0.015899944569294,0.0129931643353995,0.0565152530389619
"LLM_cell_death","Mug2",0.737021679148507,0.015899944569294,0.0129931643353995,0.0565152530389619
"LLM_cell_death","Mxra8",0.762607804493512,0.0174405849209351,0.0145338046870407,0.0666064199086188
"LLM_cell_death","Myoc",0.767884903429162,0.0090375233109427,0.00613074307704829,0.0139185695315946
"LLM_cell_death","Naaladl1",0.783963736696766,0.0141054471094,0.0111986668755056,0.0688117787295475
"LLM_cell_death","Nampt",0.761530942057506,0.0289713766241118,0.0260645963902174,0.101263023274066
"LLM_cell_death","Ncam1",0.769702798581004,0.0194713313485187,0.0165645511146243,0.064420514308278
"LLM_cell_death","Ncan",0.752242806464342,0.0258179553025763,0.0229111750686819,0.0742637788846226
"LLM_cell_death","Ndp",0.783648403626299,0.0219350074350061,0.0190282272011117,0.0733606250223817
"LLM_cell_death","Nectin1",0.758929444225423,0.0199093241480612,0.0170025439141668,0.0673437369526868
"LLM_cell_death","Nectin2",0.711427670476957,0.00947171009780819,0.00656492986391378,0.0394299698738424
"LLM_cell_death","Nectin3",0.721874655104428,0.0112067753192145,0.00829999508532005,0.0383116521255161
"LLM_cell_death","Nectin4",0.721980291683085,0.0166140866562651,0.0137073064223707,0.0576122441572806
"LLM_cell_death","Negr1",0.754041781631849,0.0229224553072821,0.0200156750733877,0.0703703926651682
"LLM_cell_death","Nell2",0.718297201418906,0.00677315091419522,0.00386637068030081,0.0431719942675411
"LLM_cell_death","Neo1",0.757433188805704,0.0173646797966232,0.0144578995627288,0.0668635941787423
"LLM_cell_death","Neto2",0.757906188411487,0.0205450813693841,0.0176383011354897,0.0690078584076127
"LLM_cell_death","Nfasc",0.728014189988135,0.014462189158426,0.0115554089245316,0.0576108793431802
"LLM_cell_death","Ngf",0.762451714623563,0.0123131487113712,0.00940636847747676,0.0275518081767632
"LLM_cell_death","Nid1",0.743771383523799,0.0179763177517963,0.0150695375179019,0.0635034521615428
"LLM_cell_death","Nid2",0.734995664170294,0.0135661703182658,0.0106593900843714,0.058429965869506
"LLM_cell_death","Nlgn1",0.745795821836806,0.00846839858696449,0.00556161835307008,0.0153566817747604
"LLM_cell_death","Nlgn2",0.754360268033117,0.018918307212906,0.0160115269790116,0.0652001904208548
"LLM_cell_death","Nlgn3",0.744528182893207,0.00930530079064146,0.00639852055674705,0.0234833066164089
"LLM_cell_death","Nmb",0.773355932203395,0.0250080103046717,0.0221012300707773,0.0815797501677116
"LLM_cell_death","Nms",0.782368151359883,0.0273447791396864,0.024437998905792,0.0871395748061096
"LLM_cell_death","Nmu",0.791091840756814,0.0194013029067954,0.016494522672901,0.0420296575896923
"LLM_cell_death","Nodal",0.683594797004338,0.00608910594484059,0.00318232571094618,0.0184144534781027
"LLM_cell_death","Nog",0.581067402443844,0.00472215566546737,0.00181537543157296,0.00430800114781673
"LLM_cell_death","Npb",0.785789515175412,0.0280249683350701,0.0251181881011757,0.0879179940439474
"LLM_cell_death","Npff",0.777346472211252,0.0251987857565661,0.0222920055226717,0.0834931054659895
"LLM_cell_death","Nphs1",0.777751675206917,0.0203813346484564,0.0174745544145619,0.0708729060791205
"LLM_cell_death","Npnt",0.723552227039872,0.0106427749647494,0.00773599473085501,0.0517710303980103
"LLM_cell_death","Nppa",0.755602680331079,0.0233737589680034,0.020466978734109,0.0664940665652512
"LLM_cell_death","Nppb",0.767867560110382,0.0470657503406697,0.0441589701067752,0.111777982824411
"LLM_cell_death","Nppc",0.736329523058694,0.0145474760056071,0.0116406957717127,0.0585366618818508
"LLM_cell_death","Nps",0.781488372092948,0.0250500997810637,0.0221433195471693,0.0793726117238338
"LLM_cell_death","Nptx2",0.712788332676365,0.00787121953468034,0.00496443930078593,0.045320389012885
"LLM_cell_death","Npvf",0.778096964919135,0.0194286935019741,0.0165219132680797,0.0710802052538843
"LLM_cell_death","Npw",0.787673630271975,0.0282268358380793,0.0253200556041849,0.089191001826034
"LLM_cell_death","Npy",0.779525423728824,0.062484495835377,0.0595777156014826,0.144369402502921
"LLM_cell_death","Nrg1",0.76249743791878,0.0113981795413477,0.00849139930745332,0.0370186600179104
"LLM_cell_death","Nrg2",0.778650374458049,0.0264553033722579,0.0235485231383635,0.0802161305465287
"LLM_cell_death","Nrg3",0.778957824201785,0.02434805484326,0.0214412746093656,0.0769141509584337
"LLM_cell_death","Nrg4",0.77971935356718,0.0233309636096671,0.0204241833757727,0.0767155761884271
"LLM_cell_death","Nrp1",0.763921166732384,0.0201653304622652,0.0172585502283708,0.0588786463184436
"LLM_cell_death","Nrtn",0.766975167520618,0.0216248193860602,0.0187180391521658,0.0702715101485497
"LLM_cell_death","Nrxn1",0.744488766259344,0.0147763646193411,0.0118695843854467,0.0617928282174503
"LLM_cell_death","Nrxn2",0.76756011036661,0.0219312216419189,0.0190244414080245,0.0596085879522881
"LLM_cell_death","Nrxn3",0.756515569570302,0.0188496980607293,0.0159429178268349,0.0638516247038124
"LLM_cell_death","Nt5e",0.762163184864064,0.01710576283695,0.0141989826030556,0.0544070576873037
"LLM_cell_death","Ntf3",0.756747339377181,0.00979580855167509,0.00688902831778068,0.0116211742029289
"LLM_cell_death","Ntf5",0.719727236893914,0.00790966948513724,0.00500288925124283,0.0168029592635935
"LLM_cell_death","Ntm",0.764023649980268,0.0188491465024124,0.015942366268518,0.0652926649576927
"LLM_cell_death","Ntn1",0.745081592431966,0.0232231078381863,0.0203163276042919,0.0838779275497681
"LLM_cell_death","Ntn3",0.734705557745364,0.0169075625121722,0.0140007822782778,0.0613585772931288
"LLM_cell_death","Ntn4",0.731186440677959,0.0180213513162426,0.0151145710823482,0.06433376187994
"LLM_cell_death","Ntng1",0.728532912889222,0.0378269369830249,0.0349201567491305,0.0663587618886455
"LLM_cell_death","Ntng2",0.71148443042959,0.0137411073007702,0.0108343270668758,0.0590568102288478
"LLM_cell_death","Nts",0.756796216003116,0.0212992866087728,0.0183925063748784,0.0585401367072359
"LLM_cell_death","Nucb2",0.722527394560472,0.0172911215954967,0.0143843413616023,0.0584520068261404
"LLM_cell_death","Nxph1",0.761778478517947,0.0181466875451823,0.0152399073112879,0.0635245887218234
"LLM_cell_death","Nxph2",0.704931809223493,0.0175120318093491,0.0146052515754547,0.0575827846589664
"LLM_cell_death","Nxph3",0.759765076862372,0.0192973482562116,0.0163905680223172,0.0669198293890931
"LLM_cell_death","Nyx",0.731716200236482,0.0153945531625044,0.01248777292861,0.0591246352200009
"LLM_cell_death","Ocln",0.773119432400499,0.0147498373958441,0.0118430571619497,0.0618480431431567
"LLM_cell_death","Ogn",0.726752857705918,0.0139596298101506,0.0110528495762562,0.0526248091071384
