"test_ligand","auroc","aupr","aupr_corrected","pearson"
"Col15a1",0.713342205313244,0.0231533478174019,0.0161229956237968,0.0690912469830094
"Col16a1",0.720379129856467,0.0238155059680188,0.0167851537744137,0.0637633408311966
"Col17a1",0.714340466701902,0.0227404344477636,0.0157100822541585,0.0617285066197472
"Col18a1",0.750590774362869,0.0281551270568077,0.0211247748632027,0.0820193776939852
"Col19a1",0.719276132846661,0.026951885120994,0.0199215329273889,0.0818767113727615
"Col1a1",0.723169024963711,0.0229001125503359,0.0158697603567308,0.0633069581794109
"Col1a2",0.710922157867994,0.0238301472040165,0.0167997950104114,0.0730974327583289
"Col20a1",0.723721505365045,0.0282666055751665,0.0212362533815614,0.0873214823094481
"Col22a1",0.646794500856231,0.0127728231515679,0.0057424709579628,0.0454751909596834
"Col24a1",0.691847182873653,0.0222178629024699,0.0151875107088648,0.0701009886219684
"Col26a1",0.611590894808804,0.0104543541526672,0.00342400195906208,0.0304730367292707
"Col27a1",0.715963868829072,0.0267879318343957,0.0197575796407907,0.0818254808798069
"Col28a1",0.709498408018574,0.0248979025367959,0.0178675503431908,0.076969452352906
"Col2a1",0.728001919280271,0.0224120087376754,0.0153816565440703,0.0632280467323459
"Col3a1",0.697121930591689,0.0236355171411564,0.0166051649475514,0.0695862377607672
"Col4a1",0.713211940384493,0.0224497945811771,0.015419442387572,0.0640944712404913
"Col4a2",0.712954683515146,0.0237761043802443,0.0167457521866392,0.0711911031671493
"Col4a3",0.718393080641176,0.0260781836750532,0.0190478314814481,0.0806758681889524
"Col4a4",0.715466374628812,0.0241380283228235,0.0171076761292184,0.0687262362751735
"Col4a5",0.715330218321393,0.0248473564610381,0.017817004267433,0.0768199729649783
"Col4a6",0.720151329880515,0.0239653107120167,0.0169349585184116,0.0767226395355644
"Col5a1",0.718836897835628,0.0232518725202319,0.0162215203266268,0.0651737714121881
"Col5a2",0.716558898076532,0.0244019417662272,0.0173715895726221,0.0732844415952352
"Col5a3",0.715933102740361,0.0247111568540926,0.0176808046604875,0.0760449771522865
"Col6a1",0.707941774849818,0.0222281305440863,0.0151977783504812,0.0606569975499773
"Col6a2",0.717674332441338,0.0274779111641704,0.0204475589705653,0.081638880728624
"Col6a3",0.683493862492611,0.0223086899131791,0.0152783377195741,0.0691295257531941
"Col6a5",0.713674740910256,0.0269386057229945,0.0199082535293894,0.0812803622289745
"Col6a6",0.714461567263822,0.0268664916170066,0.0198361394234016,0.0812240030706222
"Col7a1",0.706540281319854,0.0255083273059799,0.0184779751123748,0.0778660966385444
"Col8a1",0.690771024366745,0.0229990015442481,0.015968649350643,0.0650333005291191
"Col8a2",0.71497018962385,0.0246704952267827,0.0176401430331776,0.0684357070092141
"Col9a1",0.718661465670263,0.0257635658647415,0.0187332136711364,0.0746322819474908
"Col9a2",0.72455284435761,0.0243665182463584,0.0173361660527533,0.0685142550894793
"Col9a3",0.716054857899935,0.0267664507494524,0.0197360985558473,0.0774944035231889
"Colq",0.678264936608783,0.0200350577880029,0.0130047055943978,0.0612498190360731
"Comp",0.710779455584215,0.0235161878730008,0.0164858356793958,0.0718885226524769
"Copa",0.708077931157296,0.0311259093386642,0.0240955571450591,0.061522800122101
"Corin",0.71618512282869,0.0262631821891725,0.0192328299955674,0.0796241595765208
"Cort",0.718942288054403,0.0280518703600408,0.0210215181664357,0.0725572765755701
"Cp",0.716700945762644,0.025627983998729,0.0185976318051239,0.073410465043525
"Crb3",0.673539396303938,0.019668337470673,0.0126379852770679,0.0641783604927463
"Crh",0.731363278120214,0.0280348062740611,0.021004454080456,0.0924562371490745
"Crhr2",0.705362005582449,0.0231597413245092,0.0161293891309042,0.0627570124293693
"Crisp1",0.687987675235754,0.0208491265220879,0.0138187743284828,0.0638745623449563
