"test_ligand","auroc","aupr","aupr_corrected","pearson"
"Atp1b1",0.662777749796894,0.00768393891190255,0.00349276741186875,0.0268222040954812
"AU040320",0.659849976240547,0.0075843954340792,0.0033932239340454,0.0344989465571515
"Avp",0.651517756059755,0.00729492120492149,0.00310374970488769,0.0197260704076973
"Azgp1",0.645317314156438,0.00748026677686882,0.00328909527683502,0.0331771890236932
"B2m",0.658605070281867,0.00778977856645766,0.00359860706642386,0.0258789365803907
"Bace1",0.62821381725172,0.00617435160247023,0.00198318010243643,0.0245225337417852
"Bace2",0.611898651297127,0.00637643842633929,0.00218526692630549,0.0244213716662807
"BC053393",0.640830397165513,0.00738532322211855,0.00319415172208475,0.0323929572940375
"Bcan",0.66648509507049,0.00881949194408337,0.00462832044404957,0.0409928750588997
"Bdnf",0.651228701378066,0.00701374945698744,0.00282257795695364,0.0186237155586447
"Bgn",0.689100339201256,0.0093109728702643,0.0051198013702305,0.0343908197970897
"Bmp1",0.639722354218964,0.00649447160589889,0.00230330010586509,0.0276410245888241
"Bmp10",0.65209586542313,0.0066082140287635,0.0024170425287297,0.0291342644812415
"Bmp15",0.65251630859648,0.00676972583896673,0.00257855433893293,0.0261350121204144
"Bmp2",0.644272775647556,0.00640315340673972,0.00221198190670592,0.0097200240821214
"Bmp3",0.639389503373392,0.00620373121806324,0.00201255971802944,0.0247883267176209
"Bmp4",0.648734509844292,0.00649889574752848,0.00230772424749468,0.00499612822187497
"Bmp5",0.647212593148932,0.00654163182375258,0.00235046032371878,0.0289546320651137
"Bmp6",0.644992127639525,0.00699490686834201,0.00280373536830821,0.0153885673958511
"Bmp7",0.646496525869275,0.00634542381590266,0.00215425231586886,0.00638761902677497
"Bmp8a",0.643582986066209,0.00634394617522163,0.00215277467518783,0.0267625711295162
"Boc",0.651460821046637,0.00773310562925865,0.00354193412922485,0.034471864774973
"Bpi",0.642792465307925,0.00711111124144148,0.00291993974140768,0.0242711061656765
"Bst2",0.664602954927195,0.00800744396875614,0.00381627246872234,0.0357103801129409
"Btc",0.696292764216763,0.0100041865574469,0.00581301505741309,0.0309961142988221
"Btla",0.677590707329959,0.00891743375341721,0.00472626225338342,0.0376936921057485
"Btn1a1",0.61093185097914,0.00677736900704202,0.00258619750700822,0.025258046614412
"Btnl9",0.661201087896686,0.00758552200230012,0.00339435050226632,0.0350353986543682
"C1qa",0.662955124260644,0.00857005771391724,0.00437888621388344,0.0292686316326781
"C1qb",0.659939758376545,0.00805408439022652,0.00386291289019272,0.0353679559479248
"C1qtnf1",0.635867196892181,0.00680062176718762,0.00260945026715382,0.0286168717038021
"C1qtnf5",0.661856935451006,0.00746535332863588,0.00327418182860208,0.0341345167478595
"C3",0.667298608814869,0.0083024192863373,0.00411124778630351,0.0343893792345825
"C4b",0.662121902242555,0.00789671719641077,0.00370554569637697,0.033269659097158
"C4bp",0.702337729738241,0.0094681657189138,0.00527699421888,0.0451024508294956
"Cadm1",0.635585806539171,0.0067044301453617,0.0025132586453279,0.0173585334563481
"Cadm2",0.65433603920632,0.0073284947712285,0.0031373232711947,0.0258977741503434
"Cadm3",0.649532694931247,0.0074046426138075,0.0032134711137737,0.0307907293830747
"Cadm4",0.680167016670994,0.00859257676085665,0.00440140526082285,0.0335967179796233
"Calca",0.667374157197535,0.00810619234105488,0.00391502084102108,0.0118051584850607
"Calcb",0.674244680408453,0.00814158914054694,0.00395041764051314,0.0284974853071555
"Calm1",0.646169149544203,0.00706482485195455,0.00287365335192075,0.0246392762075271
"Calm2",0.649406780960088,0.00707989502736769,0.00288872352733389,0.0208530196461243
"Calm3",0.635519017389267,0.00673741020904065,0.00254623870900685,0.0239188936486981
"Calr",0.627485706026992,0.0067617147223715,0.0025705432223377,0.020729891512282
"Camp",0.651999513862558,0.00723262821705502,0.00304145671702122,0.01866181508454
"Car12",0.666745682245692,0.00720192351047323,0.00301075201043943,0.0335569721426004
"Cck",0.719163121002146,0.00959934805348383,0.00540817655345003,0.0306423646553492
"Ccl1",0.70588959863002,0.00812806715826182,0.00393689565822802,0.0410688319267353
"Ccl11",0.667171599939571,0.00741419634970315,0.00322302484966935,0.0306648104118816
"Ccl12",0.702588462776553,0.00850342994939925,0.00431225844936545,0.0201153831261969
"Ccl17",0.669081112685299,0.00816243172975915,0.00397126022972535,0.0324930727463601
"Ccl19",0.672612178399293,0.00761926966996313,0.00342809816992933,0.00547359787147529
"Ccl19-ps1",0.672975686559585,0.00772190305974358,0.00353073155970978,0.00510871612122902
"Ccl2",0.704966594475955,0.00895281479470406,0.00476164329467026,0.0257895312376647
"Ccl20",0.674346506489463,0.00856274360736597,0.00437157210733217,0.0292048460410194
"Ccl21a",0.674678262430927,0.00895776982314586,0.00476659832311206,0.0261659597196686
"Ccl21b",0.674939944510232,0.0089309844404823,0.0047398129404485,0.0264923339667122
"Ccl21d",0.67477899360788,0.00898449683276695,0.00479332533273315,0.0261001029221436
"Ccl22",0.671025662362203,0.00840395408643332,0.00421278258639952,0.0386081412734998
"Ccl24",0.677495450673444,0.00845815812386407,0.00426698662383027,0.0328281402976149
"Ccl25",0.680253514094701,0.00770102007658541,0.00350984857655161,0.0184308306026816
"Ccl26",0.699403386757367,0.00936583465234974,0.00517466315231594,0.0417759402069878
"Ccl27a",0.663189433737449,0.00755454574734525,0.00336337424731145,0.0106412982697855
"Ccl27b",0.66319271844974,0.00755508927181393,0.00336391777178013,0.0105811726829083
"Ccl28",0.692051105743635,0.00825174249040677,0.00406057099037297,0.0108503522369907
"Ccl3",0.702699048090391,0.00929956827074018,0.00510839677070638,0.0320855681666118
"Ccl4",0.667436566731071,0.00804662535540375,0.00385545385536995,0.0217146407993071
"Ccl5",0.670089519358961,0.0078027985832516,0.0036116270832178,0.0199321259405673
"Ccl6",0.676634856052963,0.00844681799172753,0.00425564649169373,0.0156749110352357
"Ccl7",0.664491274709266,0.00749397136607333,0.00330279986603953,0.0348218918207802
"Ccl8",0.718909103251614,0.00880722850959269,0.00461605700955889,0.0452550006643612
"Ccl9",0.677893995764908,0.00850197197573937,0.00431080047570557,0.0158695769912127
"Ccn1",0.650834535902944,0.007276486058514,0.0030853145584802,0.0283419826809769
"Ccn2",0.671251212606273,0.00763316730744966,0.00344199580741586,0.0239755323123453
"Ccn3",0.661494522194824,0.00712998587699012,0.00293881437695632,0.0283056677514158
"Ccn4",0.653070330069782,0.00597307819570152,0.00178190669566772,0.0263185074588135
"Ccn6",0.662795268262453,0.00706732212813746,0.00287615062810366,0.0328127250916044
"Cd14",0.704554910535406,0.0105097379557666,0.00631856645573282,0.040906882441365
"Cd160",0.661410214579284,0.00777302493834099,0.00358185343830719,0.0341595641482251
"Cd2",0.669428197284176,0.00802816553131652,0.00383699403128272,0.0267097526567934
"Cd200",0.628476594235083,0.00617027732913721,0.00197910582910342,0.0220610136958408
"Cd209a",0.662794173358373,0.00784865596062789,0.00365748446059409,0.0320741437026931
"Cd209b",0.655782407518909,0.00771948924659182,0.00352831774655802,0.0317959183141829
"Cd209c",0.657528779554182,0.00776623952171391,0.00357506802168011,0.0323012661830491
"Cd209d",0.657535348978766,0.00776663825096904,0.00357546675093524,0.0321937920348682
"Cd209e",0.657528779554182,0.00776623952171391,0.00357506802168011,0.0323012661830491
"Cd22",0.666547504604038,0.00837618632884186,0.00418501482880806,0.0382309868025502
"Cd226",0.636867939237189,0.00633990824555607,0.00214873674552227,0.0254374123398596
"Cd244a",0.653304639546619,0.00734379964056123,0.00315262814052743,0.0268185686902998
"Cd24a",0.679699492621421,0.00764673028270056,0.00345555878266676,0.0218694296057271
"Cd274",0.665538003026284,0.00691928431638279,0.00272811281634899,0.00362068281031918
"Cd28",0.683822901452035,0.00856628763397263,0.00437511613393883,0.0230308761994062
"Cd300a",0.657370018460069,0.00750560306087108,0.00331443156083728,0.0342405716622116
"Cd300c",0.704687393931174,0.00908730881762794,0.00489613731759414,0.0401716369807769
"Cd300c2",0.705301635129791,0.00909832706256087,0.00490715556252707,0.0402396633119135
"Cd300ld2",0.664321564574124,0.00735144853529648,0.00316027703526268,0.0339527444763458
"Cd300ld3",0.66509785157913,0.00736841701988297,0.00317724551984917,0.0341211073866077
"Cd300ld4",0.66509785157913,0.00736841701988297,0.00317724551984917,0.0341211073866077
"Cd300ld5",0.66509785157913,0.00736841701988297,0.00317724551984917,0.0341211073866077
"Cd300lf",0.667773797193059,0.00752198661408156,0.00333081511404776,0.0352872951604683
"Cd320",0.652482366569528,0.00770509876313196,0.00351392726309816,0.029976417114315
"Cd33",0.696843500977738,0.0249423819322433,0.0207512104322095,0.065455815487323
"Cd34",0.662911328096757,0.00794430269798984,0.00375313119795604,0.0351910908237553
"Cd38",0.691955849087133,0.00881622973978026,0.00462505823974646,0.0367623397640291
"Cd40",0.727210666117678,0.0125520622903757,0.0083608907903419,0.0463103609584164
"Cd40lg",0.702475687654539,0.00868938242160008,0.00449821092156628,0.0218087647791329
